index	sentence_bleu	source_am	reference_en	hypothesis_en
343	6.21	በጣም ቀጭን ሆኖ ይሰራና እና በሌላ ብረት ላይ ይጣበቃል። በጣም ቀጭን ሆኖ መሰራት ከመቻሉ የተነሳ \"ኢሉሚኔትድ ማኑስክሪፕትስ\" በተባሉ መጻህፍት ውስጥ በእጅ የተሳሉ ስእሎች ላይ ለማስዋቢያነት የሚያገለግል ነበር።	It can be made very thin, and stuck onto other metal. It can be made so thin that it was sometimes used to decorate the hand-painted pictures in books called \"illuminated manuscripts\".	He worked very thin and was slipping up on another metallic, so he was able to make it very thin, \"Emminet manuscript manuscripts\" used in hand-to-use pictures.
208	6.24	ዳንዬል ላንታኝ፣ በበሽታው ዙሪያ የ ዩኤን ባለሙያ፣ ስርጭቱ በሰላም ጠባቂዎች የተከሰተ ሊሆን እንደሚችል ጠቅሳለች።	Danielle Lantagne, a UN expert on the disease, stated the outbreak was likely caused by the peacekeepers.	Danielle says that the UAE professional around the disease could have been caused by peaceful watchmen.
1010	6.25	የስራ ቦታ ስምምነት የግል ስኬቶችን ከማድነቅ ይልቅ የቡድን ጥረት ላይ ትኩረት በማድረግ አስፈላጊ ነው።	Workplace harmony is crucial, emphasizing group effort rather than praising individual accomplishments.	It is important to focus on team efforts rather than on recognizing personal successes.
164	6.27	የፈረንሳይ የምርጫ ህግ ክርክሮችን በጥብቅ ይደግፋል።	French electoral law rather strictly codifies the proceedings.	French elections are closely supported by the elections.
305	6.29	ሚኒስትሩ የአፕልን የዘገባ ማሸጋገር \"በእውነቱ አሳዛኝ\" በማለት ምላሹን ሰጥቷል።	The ministry responded by calling Apple's postponement of the report \"truly regrettable.\"	the minister gave the response: \"the sadness in his heart.\"
217	6.30	በኋላ ላይ የውጡት ዘገባዎች፣ አውሮፕላኑ የቦንብ ዛቻ ደርሶት ወደ አፍጋኒስታን በማዞር፣ በካንዳሃር ማረፉ ተገልጿል።	Later reports then stated the plane received a bomb threat and was diverted back to Afghanistan, landing in Kandahar.	Later, the finger reports were reportedly disrupted by the aircraft to Afghanistan and evacuated by Kandahar.
442	6.30	ጠብ ከተነሳ ብዙም ሳይቆይ ብሪታንያ የጀርመንን ባህር ሃይል ማገድ ጀመረች።	Soon after the outbreak of hostilities, Britain initiated a naval blockade of Germany.	shortly after the clash, britain began to force the german sea.
346	6.31	በተሞከረው ኬሚካል ውስጥ ያለው የpH መጠን በሃይድሮጂን (H በ pH ውስጥ) አዮኖች መጠን ያመለክታል።	The pH level is indicated by the amount of Hydrogen (the H in pH) ions in the tested chemical.	The amount of hydrogen in the chemical that is tested indicates the size of the hydrogen and the iconic icons.
905	6.31	ሌሎቹ ደግሞ ሊቪንግስተን ደሴት እና ዲሴፕሽን በጎርፍ የተጥለቀለቀው እሳተ ገሞራ አስደናቂ ተፈጥሮአዊ ወደብ የሚያቀርቡበትን ስፍራ ይገኙበታል።	Others include Livingston Island, and Deception where the flooded caldera of a still-active volcano provides a spectacular natural harbour.	Others include the Lvongston Island and the Dessef Desert where the volcanic erupted volcanoes provide a magnificent natural portfolio.
651	6.33	ጠርዙ በአቅራቢያው በኩል 70 ኪሜ ውፍረት ያለው ሲሆን በርቀት በኩል ደግሞ 100 ኪሜ።ነው።	The crust is about 70 km thick on the near side and 100 km thick on the far side.	The country is thickly thicker on the nearby side and we have 100 kilometers.
928	6.36	ለአንዳንድ ሰዎች፣ አውሮፕላን እንዴት እንደሚሰራ እና በበረራ ወቅት ምንም እንደሚከሰት አንዳንድ ነገርን መረዳት በማይታወቀው ወይም ቁጥጥር ውስጥ ባልሆነ ነገር ላይ የተመሰረተ ፍርሃትን ለመጋፈጥ ሊረዳ ይችላል።	For some, understanding something about how aircraft work and what happens during a flight may help to overcome a fear which is based on the unknown or on not being in control.	For some people, it can help to confront fear based on what is unknown or in control, to understand how aircraft works and nothing happens during flight.
696	6.39	ብዙዎችን ለሚያስደንቅ የህዝብ ብዛት ንጽጽር የካናዳ ዜጎች ከሚኖሩት የበዙ በአሜሪካ የሚኖሩ አፍሪካዊ አሜሪካኖች አሉ።	For a comparison of population that surprises many: There are more African Americans living in the US than there are Canadian citizens.	There are African Americans who live in the United States, where there are people of Canada who live in the country that appreciate many.
722	6.43	ክሩገር ብሄራዊ ፓርክ (ኬኤንፒ) ከደቡብ አፍሪካ በሰሜን ምስራቅ የሚገኝ ሲሆን፣ በምስራቅ የሞዛምቢክ ድንበር ያዋስነዋል፣ በሰሜን ዚምባብዌ፣ እና የደቡብ ድንበሩ ክሮኮዳይል ወንዝ ነው።	The Kruger National Park (KNP) lies in the north-east of South Africa and runs along the border of Mozambique in the east, Zimbabwe in the north, and the southern border is the Crocodile River.	Queen National Park is located in the northeast of South Africa, bound by the eastern Mozambique border, northern Zimbabwe, and south of Croatol.
308	6.44	እንዲሁም የፓስፊክ ሱናሚ ማስጠንቀቂያ ማእከል የሱናሚ ምልክት እንደሌለ ተናግሯል።	Also the Pacific Tsunami Warning Center said that there was no Tsunami indication.	He also said there is no sign of tsunami for the Pacific Sunami warning center.
982	6.44	ቅድመ-ዘመናዊ የጠፈር ምርምር ጣቢያዎች በአሁን ጊዜ በብዛት አርጅተዋል፣ እናም እንደ ሙዚየም፣ ወይም የትምህርት ቦታዎች ሆነው ተቀምጠዋል።	Pre-modern observatories are usually obsolete today, and remain as museums, or sites of education.	The prestigious space research sites are now old, and have sat down as a museum, or schools.
1008	6.46	የጃፓን የስራ ባህል ምእራባውያን ከለመዱት ሁኔታ በተለየ መልኩ የበለጠ ተዋረድ ያለው እና ደንቡን የጠበቀ ነው።	Japanese work culture is more hierarchical and formal that what Westerners may be used to.	Japan's career culture is much more understandable and close to the world.
792	6.46	ቢሆንም ማንኛውም ማሻሻያዎች ወይም ጥያቄዎች በቀጥታ በሆቴሉ ሳይሆን በጉዞ ወኪሉ ሊካሄዱ ይገባል።	Any amendments or requests though should be coursed through the travel agent first and not directly with the hotel.	However, any improvements or questions should be made directly by the hotel, not by car.
177	6.47	የኦል ብላክ የ15 ጨዋታ በማሸነፍ የሚያጠናቅቅበት የመጨረሻ ውጤት አንድ ነጥብ ነበር ፤ 21 ለ 20 ።	The final score was a one-point victory, 21 to 20, ending the All Blacks' 15 game winning streak.	The final result of his winning the 15-play was a point; 21 for 20.
286	6.47	አዴኮያ ከዚያን ጊዜ ጀምሮ በኤድንበርግ ሸሪፍ ፍርድ ቤት ልጇን በመግደል ወንጀል ተከሳለች።	Adekoya has since been in Edinburgh Sheriff Court charged with murdering her son.	Since then, Adesia has been accused of killing her son in the Court of Edinburgh.
558	6.48	ምንም እንኳን ሰረገላዎቹ ትይዩ ጣውላዎችን ብቻ ያካተቱ ቢሆኑም፣ ፈረሶችን በበለጠ ፍጥነትን ለማሳካት የሚጎትቷቸው እና ከቀኑ ትንሽ አስቸጋሪ ከሆኑ መንገዶች ይልቅ ትላልቅ ጭነቶች መጎተትን ኣስቻሉ።	Although wagonways merely consisted of parallel planks of wood, they allowed horses pulling them to achieve greater speeds and pull larger loads than on the slightly more rough roads of the day.	Although the wagons included only the tiny locks, they were able to predict the bigger dances more quickly and more difficult ways to get rid of horses than the day.
239	6.59	ጂያንካርሎ ፊሲቼላ መኪናውን መቆጣጠር አቅቶት ገና ከጅምሩ ውድድሩን አቋረጠ።	Giancarlo Fisichella lost control of his car and ended the race very soon after the start.	Gianarlo Fisila has planned to take control of the car and has stopped the competition from the beginning.
782	6.59	ሙቅ ቸኮሌቱ የቤልጂየምን መስፈርቶች ያሟላ ነው። የፍራፍሬ ጭማቂዎች ውድ ቢሆኑም ግን በጣም ጥሩ ናቸው።	The hot chocolate is up to Belgian standards. Fruit juices are pricey but excellent.	The chocolate chocolate is equipped with Belgium requirements. Although fruit masks are expensive, they are excellent.
804	6.59	ከፍተኛ ቅዝቃዜ ባለው በረዶ ጊዜ እንዳይንቀሳቀሱ ሊያደርጎት የሚችል በረዶ በጣም በአጭር ጊዜ ሊወርድ ይችላል።	During blizzards, enough snow to get you stuck can fall in very little time.	the ice that can cause snow to move away in the cold weather may be very short time.
262	6.61	ይህ ለእኔ ትርጉም ያለው አልመሰለኝም፤ በእውነቱ አግባብ አልነበረም።	That didn't seem to make sense to me; it certainly wasn't fair.	I don't think that was meaningful to me, but it wasn't really correct.
665	6.61	ከተለመዱት የቡድን አባላት የበለጠ ብዙውን ጊዜ ራሳቸውን በራሳቸው የሚያስተዳድሩ በመሆናቸው በአካባቢያቸው ያሉ አስተዳዳሪዎች ሊገባቸው በማይችሏቸው በተለያዩ የጊዜ ሰቆች ይገናኛሉ።	They often have more autonomy than conventional team members as their teams may meet according to varying time zones which may not be understood by their local management.	they usually meet at different times, where local administrators may not be able to marry, since more often than on their own.
165	6.63	ከ1988 ጀምሮ፣ የምርጫ ኮሮጆዎች በምርጫው መጀመሪያ ላይ ምንም ፖስታዎች እንደሌሏቸው እና በምርጫው መጨረሻ ላይ ደግሞ ከተቆጠሩት እና ፍቃድ ከተሰጣቸው መራጮች ውጪ ሌሎች ፖስታዎች እንዳልገቡ መራጮች እና ታዛቢዎች እንዲያረጋግጡ ወደ ውስጥ የሚያሳዩ መሆን አለባቸው።	Since 1988, ballot boxes must be transparent so that voters and observers can witness that no envelopes are present at the start of the vote and that no envelopes are added except those of the duly counted and authorized voters.	Since 1988, electoral correspondents should be in place to ensure that they have no posts at the beginning of the election and that other poles are not placed outside the number of voters and licenses given by the end of the election.
199	6.64	በቀን የሚገኙ አስራ ስምንት ሜዳሊያዎችን ብቻ በማግኘት፣ በርካታ ሀገሮች የሜዳሊያ መድረክን መስራት ተስኗቸዋል።	With only eighteen medals available a day, a number of countries have failed to make the medal podium.	With just eight medals per day, many countries have agreed to do the Melia platform.
640	6.66	እንዲሁም እንደ ካርቦን ብረት-ያልሆኑ ንጥረ ነገሮችን የሚያካትቱ ቅይጦች ሊኖሩ ይችላሉ።	You can also have alloys that include small amounts of non-metallic elements like carbon.	There may also be patterns that include substances such as carbon steel.
751	6.68	የኣመቱ ታላቅ ውድድር በዲሴምበር ላስ ካኒታስ ውስጥ ፖሎ መስኮቹ ጋር ያካሄዳል።	The largest tournament of the year takes place in December at the polo fields in Las Cañitas.	The year's great competition will be compatible with the polo window in December.
901	6.69	ድብቁ ሰው እንደ በስተጀርባ ዳራ እና እንደ ረጅም ታሪክ ተራኪ የተሰራ ነው።	The Sphinx is set as the backdrop and the narrator of a long story.	The poor person is made as a background and as a long history ordinary car.
127	6.74	የባሊ ውስጥ አጀንዳው ላይ ሌሎች ርእሶች የኣለምን የቀሩትን ደኖች መታደግ፣ እና ፈጠራን በማጋራት ታዳጊ ሀገሪትን ብክለትን በቀነሰ መልኩ እንዲያድጉ ማገዝን ያካትታሉ።	Other subjects on the agenda in Bali include saving the world's remaining forests, and sharing technologies to help developing nations grow in less-polluting ways.	Other topics on the agenda of Bali include supporting the rest of the world, and helping to reduce the risk of developing developing developing developing developing developing a developing economy by sharing innovation.
85	6.75	የ Commons አስተዳዳሪ አደም ኩርደን ባለፈው ወር ከ Wikinews ጋር ሲነጋገሩ በስረዛው ላይ የተሰማቸውን ብስጭት ገልጸዋል።	Commons Administrator Adam Cuerden expressed his frustration over the deletions when he spoke to Wikinews last month.	Mr. Dr. Burden said he was frustrated by his aggression over the past month.
8	6.75	በ2017 መጨረሻ ላይ፣ ሲሚኖፍ በሽያጭ የቴሌቪዥን ጣቢያ ላይ ቀርቦ ነበር።	In late 2017, Siminoff appeared on shopping television channel QVC.	At the end of 2017, Siminoph was on a sales TV station.
513	6.76	የትኛውም ልጅ እንክብካቤ የሌለበት፣ አሳቢ፣ እና አስተማሪ ያልሆነ አካባቢ ውስጥ ማደግ የለበትም፣ ነገር ግን ማደጋቸው አይቀርም።	No child should ever have to grow up in an environment that is not nurturing, caring, and educational, but they do.	No child has to be cared for, careless, and should not grow in a non-teacherous environment, but it is likely to grow.
758	6.78	የፋልክላንድን ገንዘብ ከዴሴቱ ውጪ መለወጥ የማይቻል ነገር ነው፤ ስለዚህ ደሴቱን ከመልቀቅዎ በፊት ገንዘብዎን ይለውጡ።	It is nearly impossible to exchange Falklands currency outside of the islands, so exchange money prior to leaving the islands.	It is impossible to change the money of Falland outside the state, so change your money before you leave the island.
799	6.80	ካሲኖዎች በተለምዶ እንግዶች የሚያጠፉትን ጊዜና ገንዘብ ለመጨመር ብዙ ጥረቶችን ያደርጋሉ። መስኮቶችና ሰአታት ብዙውን ጊዜ አይገኙም እና መውጫዎች ለማግኘት ሊያስቸግሩ ይችላሉ።	Casinos typically make many efforts to maximize time and money spent by guests. Windows and clocks are usually absent, and exits can be hard to find.	Casino typically makes a lot of efforts to increase the time and money that visitors spend, windows and windows are often not available and can make it difficult to get out.
691	6.80	የብሎጎች ተገቢ አጠቃቀም \"ተማሪዎችን ተንታኝና እና ጠንካራ ተቺዎች እንዲሆኑ ያጠናክራቸዋል፤ ለበይነመረብ የትምህርት ቁሳቁሶች በትጋት ምላሽ በመስጠት ተማሪዎች በሌሎች ጽሁፎች ከሌሎች አንጻር ያላቸውን አቋም መግለጽ እንዲሁም በተወሰኑ ጉዳዮች የራሳቸውን አመለካካት መግለጽ ይችላሉ (ኦራቬክ 2002)።	Appropriate use of blogs \"can empower students to become more analytical and critical; through actively responding to Internet materials, students can define their positions in the context of others' writings as well as outline their own perspectives on particular issues (Oravec, 2002).	The appropriate use of blogs will strengthen students to be analyzed and robust, responding diligently to the internet's educational materials, expressing their position in other topics and expressing their own opinions on specific topics, so that they can define their own identification in the U.S.A., 2002.
381	6.81	ሞዛሳሩስ የዘመኑ የአዳኞች ቁንጮ ነበር፣ ስለሆነም ከሌሎቹ ሞዛሳሩስ በስተቀር ምንም አይፈራም ነበር።	Mosasaurus was the apex predator of its time, so it feared nothing, except other mosasaurs.	Mosaurus was the nail of the time of the judges, so nothing was afraid except the other monks.
130	6.82	ፍሉክ አንዳንድ ሰዎች ሴቶችን ስለ ሴቶች ጤና ከመናገር እንዲቆጠብ ያደረጉት ጥረት ያልተሳካ ነበር በማለት ጽፏል።	Fluke wrote that the efforts by some to drown out women from speaking out about women’s health were unsuccessful.	Flutz wrote that some people were unsuccessful about women's efforts to stop talking about their health.
888	6.82	ሪፕ ሞገዶች ከዳርቻው የሚመጣው ሞገድ ምላሽ ፍሰቶች ናቸው፣ ብዙ ጊዜ በሪፍ ወይም በተመሳሳዩ።	Rip currents are the returning flow from waves breaking off the beach, often at a reef or similar.	Rip modes are fatal reactions from the marriage, often through the reef or the same.
187	6.82	ቻምበርዎች “በተስፋፋ ሞት ፣ በሚሊዮን የሚቆጠሩ የምድር ነዋሪዎችን ጥፋት እና ሽብርተኝነት” አምላክን ከሰው ነበር።	Chambers had sued God for \"widespread death, destruction and terrorization of millions upon millions of the Earth's inhabitants.\"	Chamberg's death, the destruction of millions of earth's inhabitants, and the destruction of terrorism was a human.
168	6.82	ግን ኤሰስ የ2007 የታይዋን ብርቱ ሽልማት ውስጥ በየቻይና ሪፐብሊክ አስፈጻሚ ዩዋን ከተሸለመ በኋላ በላፕቶፕ ኮምፒውተር ላይ የሸማቹ ገበያ በፍጥነት ይለያያል እንዲሁም ይለወጣል።	But the consumer market on laptop computer will be radically varied and changed after ASUS was awarded in the 2007 Taiwan Sustainable Award by Executive Yuan of the Republic of China.	But after ASA was awarded every Chinese republic in the 2023 Taiwan's strong award, the consumer market varies rapidly and changes.
753	6.83	ለውድድሮች ዜናዎችና ለፖሎ ጨዋታዎች የት ትኬቶችን እንደሚገዙ አሶሴሽን አርጀንቲና ዲ ፖሎን ይመልከቱ።	For news on tournaments and where to buy tickets for polo matches, check Asociacion Argentina de Polo.	Check out the Argentine Argentina D. Paulo where to purchase news and tickets for poker games.
785	6.85	የሳጥን ዝልግልግ ኣሳ (Box jellyfish) ከ1770 በስተሰሜን ከኦክቶበር እስከ አፕሪል በባህር ዳር መዝናኛዎች አጠገብና የወንዝ ማእበለገቦች አጠገብ ይከሰታል። ከነዚህ ጊዜያት ውጭ አልፎ አልፎ ሊገኙ ይችላሉ።	Box jellyfish occur near beaches and near river estuaries from October to April north of 1770. They can occasionally be found outside these times.	The Sandy Wall Street Absa in 1770 will occur from Oktober to Alphire by sea recreational amusement and beneath these times.
174	6.89	ቢሽኬክ በአንድ ታዛቢ ወደ “ስርኣት አልበኝነት” ሁኔታ ውስጥ እንደገባች የተገለጸ ሲሆን፣ የዱርዬዎች ስብስብ በጎዳናዎች ላይ እየተዘዋወረ የሸማቾች የእቃዎች መደብሮችን እየዘረፈ ነበር።	Bishkek was described as sinking into a state of \"anarchy\" by one observer, as gangs of people roamed the streets and plundered stores of consumer goods.	Bishkech was described as she entered the eighth album in a single observance, and my wildlife collection was closing consumers' stores on the streets.
918	6.92	በደሴቶች ስብስብ እና በሃይቆች ላይ የግድ ጀልባ አያስፈልጎትም።	In the archipelagos and lakes you do not necessarily need a yacht.	There is no need for a boat on the collection of islands and lakes.
36	6.96	ጸሀይ የሚሰራበት መሰረታዊ መርህ ለሎች ኮከቦች ከሚሰሩበት መርህ ጋር ተመሳሳይ እንደሆነ አግኝተዋል በስርኣቱ ውስጥ የሁሉንም ኮከቦች እንቅስቃሴ የሚመራው በማንጸባረቅ፣ በመሽከርከራቸው እና በሌላ በምንም እንዳልሆነ ተገኝቷል።	They found the Sun operated on the same basic principles as other stars: The activity of all stars in the system was found to be driven by their luminosity, their rotation, and nothing else.	The basic principle that the Sun works is similar to the principle of which the stars work for malls, showing them that the movement of all stars is governed by the system, and that nothing else is available.
87	6.96	የህብረተሰቡ ብስጭት በሚልዮን የሚቆጠሩ በግልጽ ፈቃድ ያላቸው የመገናኛ ብዙሃንን ለሚያስተናግደው ጣቢያ የወሲብ ይዘት በተመለከተ ፖሊሲ ለማርቀቅ የአሁኑን ጥረት አስከትሏል።	The community irritation led to current efforts to draft a policy regarding sexual content for the site which hosts millions of openly-licensed media.	the community's frustration has led to the present efforts to relieve the sexual content policy for the media that exposes a clear license.
371	6.97	በምሽት እይታ በደንብ ማየት ይችላሉ፣ እንዲሁም በጥሩ ሁኔታም መንቀሳቀስ ይችላሉ። ኦሴሎቶች ከአካባቢያቸው ጋር በመመሳሰል የሚታደኑ እንስሳዎችን ያገኛሉ።	They can see very well in the dark with night vision, and move very stealthily, too. Ocelots hunt their prey by blending in with their surroundings then pouncing on their prey.	You can see well in the evening view, and you can also move well. Ocelos will find endangered animals in comparison with their environment.
933	7.00	በፈርስት ክላስ ወይም በቢዝነስ ክላስ ለመብረር ግልጹ መንገድ ለተጠቀሰው መብት (ወይም፣ ኩባንያዎን ለእርስዎ እንዲያደርግልዎ የሚያደርጉት) ብዙ ገንዘብን መትፋት ነው።	The obvious way of flying in first or business class is to fork out a thick wad of money for the privilege (or, better yet, get your company to do it for you).	To fly in Festival Class or Business Class, the right to the specified by Free Way is to expand your company to you, a lot of money you make it possible for you.
234	7.06	108 የሻፓንግ ቡሆግ (በሂንዱይዝም ውስጥ 56 የተለያዩ የሚበሉ ነገሮች፣ ለምሳሌ፣ ጣፋጮች፣ ፍራፍሬዎች ፣ ለውዝ ፣ ሙሉ ምግብ ወዘተ።የመሳሰሉት ለአማልክት የሚቀርቡ) ለ ባባ ሺያም ቀርበዋል።	108 plates of Chhappan Bhog (in Hinduism, 56 different edible items, like, sweets, fruits, nuts, dishes etc. which are offered to deity) were served to Baba Shyam.	108 Drafting Buho is a dessert of 56 different things to eat in Hinduism, for example, 56 varieties, desserts, food, etc. Full food, etc.
184	7.07	የሰው ልጆችን ሊገድል የሚችል የወፍ ጉንፋን ዘለላ፣ ኤች5ኤን1፣ በምስራቅ ፈረንሳይ ከሊዮን አቅራቢያ የሚገኝ ረግረጋማ መሬት ውስጥ፣ ሰኞ የተገኘ የሞተ የዱር ዳክዬን ማጥቃቱ ተረጋግጧል።	The strain of bird flu lethal to humans, H5N1, has been confirmed to have infected a dead wild duck, found on Monday, in marshland near Lyon in the east of France.	In a tropical land near Lyon, the H51, which can kill mankind, has been proven to have the dead wild inflammation in Monday.
735	7.16	ሰንዳርባን 3፣850 ኪ።ሜ² ፣ ስፋት ይይዛል፣ ከዚህም አንድ-ሶስተኛው በውሃ/በረግረግማ ስፍራዎች የተሸፈነ ነው።	The Sundarbans cover an area of 3,850 km², of which about one-third is covered in water/marsh areas.	The Sandaran 3,850 km2, occupies an area, one of which is covered by water-border places.
885	7.18	የውጭ መንግስታት እነዚህን ሰነዶች የማክበር ፈቃደኝነት እንደዚያው በሰፊው ይለያያል።	Willingness of foreign governments to honour these documents is just as widely variable.	Foreign governments' willingness to comply with these documents varies widely.
485	7.18	የብዙ መኪና ባለቤት መሆን እንዲሁ በመንገድ ላይ ከፍተኛ የአደጋ አጋጣሚዎችን ያስከትላል፤ ይህም ጉዳት የደረሰባቸውን አካላት ለመጠገን አዳዲስ ቴክኒኮችን ወደ መፍጠር ያመራል።	Mass car ownership also leads to a higher incidence of accidents on the roads, which leads to the invention of new techniques in healthcare for repairing damaged bodies.	Being a car owner also causes significant risk factors along the way, leading to the creation of new techniques to repair the damages.
90	7.23	ልክ ጨረቃ በምድር ላይ የስበት ሃይል እንዳላት እና ማእበሎች ን እንደምታስነሳ ሁሉ፣ ሚልኪ ዌይ በ ሳጊታሪየስ ጋላክሲ ላይ የስበት ሃይል አለው።	Just like the moon exerts a pull on the earth, causing tides, so does the Milky Way exert a force on the Sagittarius galaxy.	Just like the Moon has a power on Earth, and has the power of gravity on the Galaxy Galaxy, just as it raises the potatoes and spaces.
312	7.25	ህጻናትንና አዛውንትን ጨምሮ ስድስት ታጋቾች፣ እንዲሁም የፊሊፒኖ ፎቶ ባለሞያዎች ቀደም ብለው ተለቀዋል።	Six hostages, including the children and elderly, were released early, as were the Filipino photographers.	Six fighters, including children and aunts, were also reported earlier.
66	7.25	መካከለኛ ደረጃ ባትስማኖች፣ ሳቺን ቴንዱልካር እና ራሁል ድራቪድ፣ ጥሩ ተጫውቱ እና የመቶ ሩጫ ኣጋርነት አደረጉ።	Middle order batsmen, Sachin Tendulkar and Rahul Dravid, performed well and made a hundred-run partnership.	Middle-level brochures, Sachin Teducar and Rhul Woodvide, made a good player and noise race.
836	7.25	ከሪ ከስጋ ወይም አታክልት ጋር በእጽዋትና ቅመማ ቅመም ላይ የተመሰረተ ምግብ ነው።	A curry is a dish based on herbs and spices, together with either meat or vegetables.	It is a food-based diet that is based on vegetation and diamonds with rice or garden.
35	7.26	ፖሊስ ጥቃቱን የፈጸመው ተጠርጣሪ የዴእሽ (ISIL) አማጺ ነው ብለው ተጠርጥረዋል።	Police said they suspect an alleged Daesh (ISIL) militant of responsibility for the attack.	Police said the suspect of the attack was the 'David' rebel.
892	7.28	እንደገና ካልተያዙበት ቦታ ለመፈለግ ይሞክሩ ወይም በችሎታዎ ላይ በመመርኮዝ እና መታየቶ ላይ በመመርኮዝ መዳንን ሊጠብቁ ይችላሉ።	Try aiming somewhere where you are not caught again or, depending on your skills and on whether you have been noticed, you might want to wait for rescue.	Try to find a place where you don't re-imagine or wait for salvation depending on your abilities and when it is shown.
451	7.29	እናም በእንያንዳንዱ ስርወ-መንግስት መካከል የተከፋፈሉ ክፍልሃገራት ያልተረጋጋ ዘመን ነበር። በእነዚህ ጊዜያት ይበልጥ የሚታወቀው በሃን እና ጂን ስርወ-መንግስት መካከል ለ60 ኣመታት የተካሄደው የሶስት ግዛቶች ዘመን ነበር።	Also between each dynasty was an unstable age of divided provinces. The best-known of these periods was the Three Kingdoms epoch taking place for 60 years between the Han and the Jin Dynasty.	And there was an unstable period in the middle of each state that was divided between the three states that took place in Han and Jinad, which was the most known during these times.
717	7.29	በአንጻራዊነት ተደራሽነቷ ካለመኖር ጋር ተጣምሮ፣ \"ቲምቡክቱ\" ብርቅ እና ሩቅ ለሆኑ ምድሮች እንደ አቃቂራዊ ተምሳሌት እንድንገለገልባት ሆናለች።	Combined with its relative inaccessibility, \"Timbuktu\" has come to be used as a metaphor for exotic, distant lands.	With her relatively accessible presence, Timbun has been used as a symbol of a striking and remote landmark.
767	7.33	በተጨማሪ፣ ሽታዎች ድቦችን እና ሌሎች የዱር እንስሳትን እንደሚስቡ ይወቁ፤ ስለዝህ ሽታ ያላቸውን ምግቦች ከመያዝም ከመስራትም ይቆጠቡ እናም ማረፊያዎን ያጽዱ።	In addition, be aware that odors attract bears and other wildlife, so avoid carrying or cooking odorous foods and keep a clean camp.	In addition, keep in mind that smells and other wild animals are attracted; even avoiding taking nutritious foods about your elephant and clean up your accommodations.
850	7.33	በረዶ መንሸራተት ሙሉ የእረፍት ወቅቶችን አንድ ቦታ ላይ በረዶ መንሸራተት ዙሪያ የሚያቅዱ፣ “የበረዶ ወዳጆች” ተብለው የሚታወቁ በጣም ብዙ አፍቃሪዎች ያሉት ዋና የጉብኝት ተግባር ነው።	Skiing is a major travelling activity with many enthusiasts, occasionally known as \"ski bums,\" planning entire vacations around skiing at a particular location.	Temperature is a major tour function of a large number of lovers who plan around ice skiing seasons around a place, known as 'Warranty', well-known friends.
71	7.34	ጠቅላይ ሚኒስትር ስቴፈን ሃርፐር የመንግስትን የ “ንጹህ አየር ህግ”ን ከሁለተኛው ንባብ በፊት ከማክሰኞው ከጠቅላይ ሚንስትር ጃክ ሎይተን ጋር በPMO ላይ ከተደረገው የ25 ደቂቃ ስብሰባ በኋላ ለአጠቃላይ ፓርቲ ኮሚቴ እንዲገመገም ለመላክ ተስማምተዋል።	Prime Minister Stephen Harper has agreed to send the government's 'Clean Air Act' to an all-party committee for review, before its second reading, after Tuesday's 25 minute meeting with NDP leader Jack Layton at the PMO.	Prime Minister Stefin Harp agreed to request a general meeting for the General Assembly after a 25-minute meeting with Prime Minister Jack Lowe Jackson, who made the government's cleaner legislation before the second reading.
220	7.35	እንደ ኣለም አቀፍ ማእቀቦች አዳዲስ አውሮፕላኖችን መግዛት አይቻልም ማለት ነው።	International sanctions have meant that new aircraft cannot be purchased.	According to international sanctions, it is impossible to buy new aircraft.
359	7.35	በእነሱ ስር ከጥንቸል እስከ አጋዘን ያሉ መካከለኛ መጠን ያላቸው እንስሶችን የሚበሉ መካከለኛ መጠን ያላቸው ድመቶች አሉ።	Under them are more medium sized cats that eat medium sized prey ranging from rabbits to antelopes and deer.	Under them there are medium-sized cats that consume medium-sized eggs, ranging from tile to palm.
301	7.38	የአንዳንዴ-ኣመጻዊ ሰላማዊ ሰልፎች የሚነሱት ምርጫዎችን ካለማድረግ ነው አንዳንዶቹ ከ2011 ጀምሮ።	The sometimes-violent protests were triggered by failure to hold elections, some due since 2011.	If you have to make choices that are going to take place in Armenia, some of them have been in place since 2011.
802	7.38	በከፍተኛ ኬክሮሶች ወይም በተራራ ማለፊያዎች ላይ የሚነዳ ማንም ሰው የበረዶ፣ በረዶ ወይም የሚያረጉ ልከ ሙቀቶች ሊኖሩ እንደሚችሉ ሊያስብ ይገባል።	Anyone who's going to drive at high latitudes or over mountain passes should consider the possibility of snow, ice, or freezing temperatures.	Anyone driving on high-carbon or mountain windows should think that there may be cold, ice, ice or ice temperature.
24	7.41	እሁድ ማለዳ ላይ የዩናይትድ ስቴትስ ፕሬዝዳንት ዶናልድ ትራምፕ በፕሬስ ጸሃፊው በኩል በሰጡት መግለጫ የአሜሪካ ወታደሮች ከሶሪያ እንደሚለቁ አስታውቀዋል።	Late on Sunday, the United States President Donald Trump, in a statement delivered via the press secretary, announced US troops would be leaving Syria.	On Sunday morning, U.S. President Donald Trump announced that the U.S. troops were away from Syria.
